date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
4/18/19 04:22,MayorJenny,,3,3,21,"As a civic leader, friend and mentor, Bob Royer was a transformative force in the lives of countless people and a leader on so many issues. He filled every room with humor, intelligence and deep warmth. Seattle is a better place because of Bob. https://www.westsideseattle.com/ballard-news-tribune/2019/04/17/mayor-durkan-mourns-seattle-civic-leader-and-former-deputy-mayor",,,,1.12E+18,https://twitter.com/MayorJenny/status/1118731598743003137
4/17/19 23:00,MayorJenny,,10,10,34,"Last night - from City Hall to @CenturyLink_Fld to the Great Wheel - Seattle was lit up as a sign of love for #NotreDame and in solidarity with Mayor @Anne-Hidalgo, President @EmmanuelMacron, Parisians everywhere, and the people of France. : @timdurkan",,@CenturyLink_Fld @anne @EmmanuelMacron @timdurkan,#NotreDame,1.12E+18,https://twitter.com/MayorJenny/status/1118650346312617985
4/17/19 21:46,MayorJenny,,12,2,22,"Relaunching @SeattlePD Community Service Officers Program reflects our promise to make Seattle a safer, more inclusive place for all. Thanks to this and @carmenbest's leadership, we can do more to connect residents with the services they need. https://durkan.seattle.gov/2019/04/mayor-durkan-chief-best-announce-plan-to-relaunch-seattles-community-service-officer-program-hire-12-officers-and-supervisors-to-help-residents-navigate-services-like-emergency-shelter-eng/",,@SeattlePD @carmenbest,,1.12E+18,https://twitter.com/MayorJenny/status/1118631852368023552
4/17/19 20:52,MayorJenny,,2,1,10,"Thank you to all the small business owners and residents of the South Park community that came out to chat with me today during my neighborhood walk - shout out to Muy Macho, El Buen Sabor, Resistencia Coffee, and the South Park Merchants Association!",,,,1.12E+18,https://twitter.com/MayorJenny/status/1118618255650746368
4/17/19 19:51,MayorJenny,,13,1,15,"We must continue to act urgently to address our affordability and housing crisis. That is why I am transmitting legislation to create a new affordable, livable community at Ft. Lawton. Read more about this proposal on my blog:",,,,1.12E+18,https://twitter.com/MayorJenny/status/1118602978464714752
4/17/19 18:10,MayorJenny,breannastewart,2,15,257,"Breanna, wishing you the speediest of recoveries. Can't wait to see you back on the court with our @seattlestorm!",,@seattlestorm,,1.12E+18,https://twitter.com/MayorJenny/status/1118577582050439168
4/17/19 05:38,MayorJenny,,11,24,134,"From City Hall to @CenturyLink_Fld to the Great Wheel, tonight Seattle is lit up as a sign of love for #NotreDame and of solidarity with the people of France and Parisians everywhere. Photos by the talented @timdurkan.",,@CenturyLink_Fld @timdurkan,#NotreDame,1.12E+18,https://twitter.com/MayorJenny/status/1118388127113076736
4/17/19 02:57,MayorJenny,,9,15,96,"Look for some of Seattle's landmarks to be lit up tonight as a sign of love for #NotreDame and in solidarity with Mayor @Anne_Hidalgo, all Parisians, and the people of France.",,@Anne_Hidalgo,#NotreDame,1.12E+18,https://twitter.com/MayorJenny/status/1118347617199517696
4/16/19 22:17,MayorJenny,,5,5,84,"For five decades @sesamestreet has been lifting up, inspiring, and educating children across Seattle. Abby’s visit this summer is a chance for us to celebrate the powerful impact that Sesame has had on generations of Seattle’s kids.",,@sesamestreet,,1.12E+18,https://twitter.com/MayorJenny/status/1118277291799236610
4/16/19 21:25,MayorJenny,,9,2,14,"As we continue to build a city of the future, we are providing new ways for our neighbors to access transit. More choices for reliable, affordable transit creates pathways to jobs, training, school, and opportunity. Learn more: https://www.kingcounty.gov/elected/executive/constantine/news/release/2019/April/16-transit-hubs-seattle-tukwila.aspx",,,,1.12E+18,https://twitter.com/MayorJenny/status/1118264076621062144
